Ctrl4,Ctrl5,Ctrl6,pyg4,pyg5,pyg6
WBGene00008451,60,29,61,51,49,30
WBGene00008452,1495,992,904,1638,969,525
WBGene00008453,137,94,89,74,115,52
WBGene00008454,169,90,109,99,113,47
WBGene00008455,563,368,376,619,397,197
WBGene00008456,497,391,346,631,353,202
WBGene00008457,599,458,441,765,446,268
WBGene00008458,255,195,182,300,205,79
WBGene00008459,318,251,222,291,251,133
WBGene00008460,103,56,104,130,81,43
WBGene00008462,55,35,44,36,42,20
WBGene00008463,6,3,7,9,3,0
WBGene00008464,392,255,209,508,274,172
WBGene00008465,6,3,3,10,2,1
WBGene00008468,0,0,0,0,0,2
WBGene00008470,0,0,0,0,0,0
WBGene00008471,0,0,0,0,0,0
WBGene00008472,0,0,0,0,0,0
WBGene00008473,0,0,0,1,0,0
WBGene00008474,0,0,1,2,0,0
WBGene00008475,7,3,9,6,3,2
WBGene00008476,509,397,472,479,392,176
WBGene00008477,58,67,52,17,20,20
WBGene00008478,1,0,0,0,2,1
WBGene00008479,0,0,0,2,0,0
WBGene00008480,8744,5684,5761,9906,5548,3677
WBGene00008481,60,45,61,68,63,25
WBGene00008482,59,31,45,25,40,24
WBGene00008483,226,221,372,180,170,155
WBGene00008484,200,166,183,170,199,124
WBGene00008485,498,395,516,341,433,283
WBGene00008486,7585,6365,9900,5093,7397,4241
WBGene00008487,7,6,8,5,7,3
WBGene00008488,403,289,279,572,269,204
WBGene00008489,17,13,17,11,15,5
WBGene00008490,68,46,44,67,44,29
WBGene00008491,6,3,4,12,5,5
WBGene00008492,432,366,633,92,266,205
WBGene00008493,333,302,487,50,249,150
WBGene00008494,614,487,694,90,410,226
WBGene00008495,157,162,271,48,70,61
WBGene00008496,65,34,23,55,24,3
WBGene00008497,16,10,4,2,2,2
WBGene00008498,748,415,534,621,558,236
WBGene00008499,1995,1332,1875,1286,1529,737
WBGene00008500,20,15,14,27,15,6
WBGene00008501,0,0,0,0,0,0
WBGene00008502,1763,1245,1488,2429,1372,876
WBGene00008503,1201,782,744,1912,710,527
WBGene00008504,483,323,392,436,340,198
WBGene00008505,27206,15726,18992,25381,18354,12062
WBGene00008506,23701,13450,15713,22347,14766,8112
WBGene00008507,1,2,1,2,3,1
WBGene00008508,56,23,66,23,22,23
WBGene00008509,32,22,19,24,19,3
WBGene00008510,1751,1310,1651,1736,1452,851
WBGene00008511,141,118,203,108,194,98
WBGene00008512,71,58,62,101,80,28
WBGene00008513,41,32,44,50,50,20
WBGene00008514,5088,3372,3884,5714,3486,2035
WBGene00008515,2205,1529,2080,1890,1832,1034
WBGene00008516,14,11,3,18,6,3
WBGene00008517,4,8,6,13,8,2
WBGene00008518,15,7,17,21,12,2
WBGene00008519,74,64,50,76,36,23
WBGene00008520,14,5,3,5,8,2
WBGene00008521,1470,1035,1332,1258,1333,630
WBGene00008522,1096,828,1167,467,1024,503
WBGene00008523,0,0,0,0,1,0
WBGene00008524,2,2,1,0,0,1
WBGene00008526,76,66,48,139,46,36
WBGene00008527,0,0,0,0,0,2
WBGene00008528,464,382,391,433,487,270
WBGene00008529,41,16,46,28,26,25
WBGene00008530,978,638,593,1160,681,404
WBGene00008531,981,775,880,1397,856,561
WBGene00008532,3331,2234,2347,3998,2356,1221
WBGene00008533,881,670,589,1384,660,410
WBGene00008534,47,23,39,73,32,32
WBGene00008535,555,391,385,1129,366,271
WBGene00008536,468,293,306,854,304,210
WBGene00008537,455,315,294,737,342,244
WBGene00008538,1461,894,1386,659,1225,668
WBGene00008539,0,0,1,1,0,0
WBGene00008540,0,0,0,0,0,0
WBGene00008541,240,131,239,78,164,133
WBGene00008542,1003,778,971,807,759,354
WBGene00008543,28,21,14,23,18,12
WBGene00008545,25,10,18,22,9,5
WBGene00008546,11026,6756,7176,12875,6725,4039
WBGene00008547,1590,945,1584,1403,1304,693
WBGene00008548,696,394,643,381,544,246
WBGene00008549,4711,2870,4275,4826,3430,2042
WBGene00008550,4,4,6,10,6,2
WBGene00008551,6,7,6,10,7,0
WBGene00008552,0,1,1,0,0,0
WBGene00008553,159,110,141,118,116,67
WBGene00008554,462,312,451,284,356,171
WBGene00008555,2713,1585,1782,3133,1576,1105
WBGene00008556,6,3,5,5,7,3
WBGene00008557,26,23,28,11,20,11
WBGene00008558,28,26,48,28,39,22
WBGene00008559,41,30,18,23,17,23
WBGene00008560,705,394,542,915,564,271
WBGene00008561,815,568,448,1208,508,296
WBGene00008563,216,169,227,261,184,121
WBGene00008564,4149,2938,4336,3208,3686,1815
WBGene00008565,2579,2019,3001,1356,2680,1057
WBGene00008566,487,279,389,505,402,242
WBGene00008567,2145,1373,1769,1530,1605,726
WBGene00008568,39,22,39,27,24,18
WBGene00008569,523,370,328,682,380,237
WBGene00008570,218,111,186,273,191,63
WBGene00008571,534,351,509,498,387,210
WBGene00008572,18606,12773,14973,10203,16068,8833
WBGene00008574,0,0,1,0,0,0
WBGene00008575,236,256,235,98,340,122
WBGene00008576,533,292,333,464,323,243
WBGene00008577,1472,782,860,934,719,356
WBGene00008578,425,249,299,496,290,185
WBGene00008579,65,48,55,50,56,33
WBGene00008580,941,629,505,1248,590,374
WBGene00008581,16,12,31,17,10,9
WBGene00008582,213,137,163,187,165,90
WBGene00008583,275,206,267,270,302,132
WBGene00008584,110,112,182,84,172,95
WBGene00008585,493,291,376,494,323,213
WBGene00008586,809,523,569,929,577,289
WBGene00008587,120,105,142,180,117,84
WBGene00008588,170,105,123,172,89,58
WBGene00008589,167,109,170,38,204,99
WBGene00008590,294,76,192,44,169,119
WBGene00008591,20,14,10,31,9,6
WBGene00008592,18,6,4,8,5,3
WBGene00008593,67,52,58,51,63,32
WBGene00008594,485,359,512,458,457,216
WBGene00008595,1522,1130,1583,991,1170,706
WBGene00008596,259,198,286,221,205,112
WBGene00008597,24,21,24,12,23,5
WBGene00008598,235,218,276,167,215,64
WBGene00008599,231,180,290,218,187,97
WBGene00008600,22,16,20,19,35,7
WBGene00008601,2595,1522,2053,2274,1566,889
WBGene00008602,2019,1312,1666,1664,1626,672
WBGene00008603,749,537,685,823,648,359
WBGene00008604,37,32,39,24,43,17
WBGene00008605,129,113,60,335,50,39
WBGene00008606,400,189,242,389,237,178
WBGene00008607,2308,1612,2230,1437,1693,806
WBGene00008609,8,7,8,10,9,4
WBGene00008610,429,195,267,399,272,98
WBGene00008611,17,10,2,17,3,2
WBGene00008612,6,5,7,6,3,3
WBGene00008613,5,6,7,4,5,1
WBGene00008615,19,13,4,11,6,3
WBGene00008616,7,15,8,15,7,5
WBGene00008617,18,14,16,11,17,13
WBGene00008618,0,1,2,1,1,0
WBGene00008619,3,0,1,0,2,1
WBGene00008620,1,3,1,1,1,0
WBGene00008621,420,238,215,384,278,162
WBGene00008622,2717,1756,2549,2458,2082,1298
WBGene00008623,5,3,6,0,0,3
WBGene00008624,1173,807,897,1360,871,425
WBGene00008625,4,1,0,1,1,0
WBGene00008626,119,64,88,59,87,40
WBGene00008627,2,3,1,0,0,1
WBGene00008628,402,252,269,334,269,154
WBGene00008629,1090,1068,1579,722,1248,443
WBGene00008630,4,1,1,5,0,2
WBGene00008631,5,0,3,2,0,0
WBGene00008632,37,38,72,19,56,32
WBGene00008633,39,34,71,18,25,16
WBGene00008634,96,61,106,83,83,47
WBGene00008635,1,0,3,0,3,0
WBGene00008636,1,2,3,0,1,0
WBGene00008637,0,0,0,0,0,0
WBGene00008638,0,0,0,0,0,0
WBGene00008639,605,505,474,789,427,296
WBGene00008640,6,3,5,8,6,0
WBGene00008641,835,603,551,1388,555,338
WBGene00008642,1941,1448,1473,2632,1369,851
WBGene00008643,5,2,2,5,5,1
WBGene00008644,241,161,213,322,214,97
WBGene00008645,3111,2203,2218,5306,2118,1381
WBGene00008646,931,701,984,1364,914,516
WBGene00008647,11,7,7,19,7,1
WBGene00008648,1042,765,715,1771,686,555
WBGene00008649,17,7,17,3,13,10
WBGene00008650,14,11,10,3,10,4
WBGene00008651,53,20,50,55,37,26
WBGene00008652,1429,1033,1311,1155,1217,621
WBGene00008654,4763,3290,5187,3492,3711,1620
WBGene00008655,60,51,38,38,35,11
WBGene00008656,76,68,101,114,73,41
WBGene00008657,16,0,10,2,7,6
WBGene00008658,11,12,16,5,14,5
WBGene00008659,52,30,42,13,27,20
WBGene00008660,19,18,30,11,13,9
WBGene00008661,29,18,32,11,25,19
WBGene00008662,8,3,10,1,11,10
WBGene00008663,7,1,4,12,1,3
WBGene00008664,1434,881,947,1531,1059,449
WBGene00008665,842,558,500,924,561,360
WBGene00008666,862,577,768,1007,546,334
WBGene00008667,420,251,317,517,294,158
WBGene00008668,2,1,4,1,3,0
WBGene00008669,4380,3440,4617,4061,4066,1680
WBGene00008670,1507,1100,1229,2285,1099,776
WBGene00008671,0,3,0,2,0,0
WBGene00008672,0,1,0,0,0,0
WBGene00008673,2,1,0,3,1,0
WBGene00008674,0,0,0,0,0,0
WBGene00008675,4,2,0,3,1,1
WBGene00008676,0,1,0,0,0,0
WBGene00008677,3319,1739,1862,2860,1607,698
WBGene00008678,12,4,10,20,4,6
WBGene00008679,1,3,2,0,1,0
WBGene00008680,70,42,60,53,31,24
WBGene00008681,556,349,400,352,323,173
WBGene00008682,5756,3833,3991,8955,3633,2561
WBGene00008683,1072,684,720,1165,786,401
WBGene00008684,1550,1248,1105,2616,1097,861
WBGene00008685,2937,2008,2547,4273,2133,1215
WBGene00008686,2600,1688,1738,3690,1678,1082
WBGene00008687,903,559,676,889,674,336
WBGene00008688,1009,703,742,1102,663,422
WBGene00008690,140,80,92,141,113,73
WBGene00008691,199,154,137,212,130,94
WBGene00008692,288,175,275,244,172,116
WBGene00008693,27,31,38,41,21,8
WBGene00008694,4468,2603,4257,4290,3268,1789
WBGene00008695,34,30,43,29,47,26
WBGene00008696,0,1,0,0,0,1
WBGene00008698,1405,935,1171,1071,876,530
WBGene00008699,9,3,6,10,7,6
WBGene00008700,2,4,4,3,2,0
WBGene00008701,1,1,0,2,2,0
WBGene00008702,2,0,6,3,1,0
WBGene00008703,0,0,1,5,0,1
WBGene00008706,1226,931,1160,1111,913,477
WBGene00008707,14317,7881,11524,10882,10068,6601
WBGene00008708,77,70,103,46,107,55
WBGene00008709,80,44,61,62,47,29
WBGene00008710,3905,2652,2600,6667,2485,1799
WBGene00008711,213,144,225,208,173,94
WBGene00008712,13,11,5,14,10,5
WBGene00008713,9,10,8,2,4,2
WBGene00008714,643,553,711,468,619,322
WBGene00008716,0,0,1,1,0,1
WBGene00008717,0,0,0,1,0,0
WBGene00008719,6,12,4,18,11,3
WBGene00008720,3073,2020,2386,4262,1968,1405
WBGene00008721,0,1,0,0,0,0
WBGene00008722,1317,958,790,1909,850,529
WBGene00008723,31,19,16,49,26,16
WBGene00008724,119,60,93,26,58,48
WBGene00008725,22,3,13,7,16,6
WBGene00008726,261,193,168,334,130,82
WBGene00008727,14,11,11,13,8,10
WBGene00008728,1,2,3,10,3,1
WBGene00008729,3956,2617,2596,4916,2700,1740
WBGene00008730,341,251,377,360,299,136
WBGene00008731,54,39,56,51,49,20
WBGene00008732,29,19,18,45,7,4
WBGene00008733,1774,1226,1340,2576,1199,845
WBGene00008734,0,0,0,1,2,1
WBGene00008735,1423,1045,1582,1574,1253,726
WBGene00008736,32,13,29,26,24,11
WBGene00008737,16,14,14,18,34,6
WBGene00008739,2166,1517,1837,1443,2128,1077
WBGene00008740,785,472,382,901,433,266
WBGene00008741,20550,11774,18714,6726,10629,6436
WBGene00008742,180,104,131,109,143,93
WBGene00008743,602,344,433,391,440,197
WBGene00008744,56,50,73,56,68,54
WBGene00008745,3729,2630,3386,3481,3080,1809
WBGene00008746,36,30,17,37,20,14
WBGene00008747,80,76,66,135,80,46
WBGene00008748,1995,1432,1804,1907,1452,953
WBGene00008749,963,669,856,1013,784,393
WBGene00008750,1191,971,934,2024,858,596
WBGene00008751,0,0,0,0,1,0
WBGene00008752,0,0,0,1,0,0
WBGene00008753,1,0,0,0,0,0
WBGene00008754,19,13,28,10,16,13
WBGene00008755,9,3,5,6,5,2
WBGene00008757,0,1,1,0,0,0
WBGene00008758,1,0,0,0,1,0
WBGene00008759,0,0,0,1,0,0
WBGene00008760,315,208,274,357,183,122
WBGene00008761,26,25,20,12,32,5
WBGene00008762,95,47,55,101,87,44
WBGene00008763,35,21,25,29,33,14
WBGene00008764,1386,1032,1153,1298,1149,752
WBGene00008765,3222,1979,2370,3600,2492,1101
WBGene00008766,486,325,295,594,304,158
WBGene00008767,942,632,711,1152,712,388
WBGene00008768,891,619,639,536,702,416
WBGene00008769,400,283,288,412,304,173
WBGene00008770,116,78,118,86,92,57
WBGene00008772,7,3,8,3,7,4
WBGene00008773,8,11,8,4,6,5
WBGene00008774,2014,1561,1836,3138,1518,880
WBGene00008775,3209,2358,2690,4755,2519,1540
WBGene00008776,34,36,37,42,15,15
WBGene00008777,954,717,822,294,1007,553
WBGene00008778,0,0,0,0,0,0
WBGene00008779,131,92,116,178,86,40
WBGene00008780,5963,4078,3804,8341,3819,2310
WBGene00008781,1473,1045,976,2272,921,589
WBGene00008782,34,32,19,50,21,18
WBGene00008783,177,109,166,176,112,61
WBGene00008784,80,70,42,137,71,44
WBGene00008785,17,8,12,6,12,9
WBGene00008786,0,0,0,1,0,0
WBGene00008787,147,95,113,113,129,57
WBGene00008788,2,1,0,0,0,1
WBGene00008789,1455,929,768,2310,890,687
WBGene00008790,1,0,2,2,0,0
WBGene00008791,9,9,9,21,7,5
WBGene00008792,13,17,19,8,18,7
WBGene00008793,207,188,308,189,238,98
WBGene00008794,32,20,23,4,48,8
WBGene00008795,19,12,19,18,9,10
WBGene00008796,1,1,0,1,0,0
WBGene00008797,17,15,13,9,16,12
WBGene00008798,1,5,1,0,3,2
WBGene00008799,108,88,133,140,101,51
WBGene00008800,6235,4449,5828,8355,4937,2841
WBGene00008801,17,11,13,6,14,9
WBGene00008802,225,152,198,233,153,89
WBGene00008803,3368,2352,2619,3354,2778,1110
WBGene00008804,3,1,6,1,3,1
WBGene00008805,630,459,615,839,520,383
WBGene00008806,415,275,306,529,301,192
WBGene00008807,10,7,1,1,1,5
WBGene00008808,10,7,10,20,8,8
WBGene00008809,120,93,100,114,91,46
WBGene00008810,149,67,94,215,141,53
WBGene00008811,32,8,32,11,27,16
WBGene00008812,139,109,147,162,110,70
WBGene00008813,3,1,3,6,3,1
WBGene00008814,0,0,0,0,0,0
WBGene00008815,0,0,0,0,1,0
WBGene00008816,4,3,2,1,2,2
WBGene00008817,0,0,0,0,0,0
WBGene00008818,0,0,0,0,0,0
WBGene00008819,321,221,282,343,273,155
WBGene00008820,325,220,253,183,261,170
WBGene00008821,14,9,15,4,9,7
WBGene00008822,238,168,171,387,149,156
WBGene00008823,568,375,321,965,372,285
WBGene00008824,245,193,151,432,171,137
WBGene00008825,3767,2439,2085,5306,2272,1444
WBGene00008826,4,7,4,5,1,0
WBGene00008827,25,16,22,31,20,3
WBGene00008828,0,0,1,3,1,0
WBGene00008829,41,38,56,27,46,16
WBGene00008830,378,289,356,422,333,164
WBGene00008831,371,218,314,263,247,118
WBGene00008832,968,589,782,889,701,334
WBGene00008833,7,8,7,17,6,3
WBGene00008834,2,4,3,3,7,2
WBGene00008835,0,1,0,0,1,0
WBGene00008837,2,0,1,0,0,0
WBGene00008838,36,24,29,49,20,12
WBGene00008839,2,0,1,6,1,1
WBGene00008840,135,67,71,92,94,39
WBGene00008841,1757,865,1234,1059,1275,608
WBGene00008842,5,0,1,3,5,1
WBGene00008843,73,36,56,38,57,25
WBGene00008844,155,83,84,182,90,91
WBGene00008847,13,7,5,6,10,1
WBGene00008848,2305,1424,1537,2679,1373,810
WBGene00008849,195,163,192,206,204,106
WBGene00008850,1443,1169,1371,1552,1151,542
WBGene00008851,109,65,33,144,25,27
WBGene00008852,5754,3754,4246,7539,3990,2599
WBGene00008853,0,0,2,1,2,1
WBGene00008854,35,22,40,30,29,10
WBGene00008855,1,2,1,0,1,0
WBGene00008856,2234,1582,1756,2736,1648,1120
WBGene00008857,2695,1247,1273,2313,1410,776
WBGene00008858,58,44,66,50,63,39
WBGene00008859,812,504,404,543,505,265
WBGene00008860,751,507,449,370,647,449
WBGene00008861,206,127,155,205,177,90
WBGene00008862,90,77,121,97,94,42
WBGene00008863,21,12,10,28,12,17
WBGene00008865,1949,966,1201,1279,1317,632
WBGene00008866,0,0,0,0,0,0
WBGene00008867,3,1,2,1,0,1
WBGene00008868,284,166,246,238,230,99
WBGene00008869,10,9,7,8,6,3
WBGene00008870,4,4,3,5,4,1
WBGene00008871,25,7,19,9,15,10
WBGene00008872,0,0,0,0,0,0
WBGene00008873,0,0,0,0,0,0
WBGene00008874,22,17,19,11,17,12
WBGene00008875,9,12,11,15,8,7
WBGene00008876,3095,2118,2199,4752,2043,1299
WBGene00008877,747,563,590,989,529,330
WBGene00008878,4187,2720,3291,5866,2871,1762
WBGene00008879,32,47,45,40,32,20
WBGene00008880,741,462,392,1389,489,287
WBGene00008881,6,0,3,0,3,1
WBGene00008882,1631,1031,1219,2442,1153,747
WBGene00008883,9,7,10,12,11,8
WBGene00008884,3,3,6,4,4,1
WBGene00008885,79,67,102,92,88,57
WBGene00008886,348,252,284,278,267,137
WBGene00008887,2264,1664,1805,3863,1609,957
WBGene00008889,2,1,2,2,4,1
WBGene00008890,70,58,75,75,59,34
WBGene00008891,92,92,174,36,64,49
WBGene00008892,23,12,28,19,17,8
WBGene00008893,0,0,0,0,0,0
WBGene00008894,1,1,0,0,2,0
WBGene00008895,3,2,8,8,4,3
WBGene00008896,2,0,1,0,1,0
WBGene00008897,13,11,9,28,6,2
WBGene00008898,0,0,0,0,0,0
WBGene00008899,8,0,5,8,3,1
WBGene00008900,773,561,702,813,586,338
WBGene00008901,0,2,1,0,0,3
WBGene00008902,5,3,7,10,4,4
WBGene00008903,0,0,1,0,0,0
WBGene00008904,117,85,74,182,101,75
WBGene00008905,41,9,9,35,16,5
WBGene00008906,0,0,1,0,0,1
WBGene00008907,0,0,0,0,1,0
WBGene00008908,0,0,0,0,0,0
WBGene00008909,1,0,0,0,0,0
WBGene00008910,143,100,143,150,113,64
WBGene00008911,2,0,0,1,6,0
WBGene00008912,51,13,32,14,26,14
WBGene00008913,4183,2170,3091,3125,2613,1739
WBGene00008914,637,386,447,431,426,275
WBGene00008915,1282,583,566,1287,648,284
WBGene00008916,52,16,17,55,19,9
WBGene00008917,463,327,308,337,389,191
WBGene00008918,1334,944,991,1941,911,587
WBGene00008919,1372,852,990,1561,882,615
WBGene00008920,45780,28355,32531,42383,31159,18836
WBGene00008921,3535,2522,2475,6065,2261,1555
WBGene00008922,6482,3994,4540,5647,4071,1913
WBGene00008923,1228,1039,1305,1112,1127,549
WBGene00008924,581,411,539,626,436,272
WBGene00008925,3546,1782,2191,3647,2090,1094
WBGene00008926,1459,1023,1263,1349,1228,535
WBGene00008927,584,460,572,631,447,311
WBGene00008928,0,0,0,0,0,0
WBGene00008929,59,30,38,34,37,17
WBGene00008930,164,139,167,55,210,140
WBGene00008932,216,131,123,211,124,64
WBGene00008933,39,27,21,36,22,10
WBGene00008934,834,577,590,1158,596,422
WBGene00008935,4,3,2,2,6,2
WBGene00008936,4515,3430,4728,4214,3715,2086
WBGene00008937,1,2,5,4,0,1
WBGene00008939,284,200,215,234,252,110
WBGene00008940,903,576,741,1037,664,419
WBGene00008941,0,1,3,1,1,0
WBGene00008942,1,0,1,5,1,0
WBGene00008943,1,4,3,5,0,2
WBGene00008944,6847,3879,5086,9427,4622,2699
WBGene00008945,377,270,337,381,277,205
WBGene00008946,4,4,11,7,2,2
WBGene00008947,0,0,2,0,2,0
WBGene00008948,3768,2510,2579,4966,2485,1514
WBGene00008949,14,3,11,5,3,4
WBGene00008950,66,22,50,29,50,16
WBGene00008951,486,297,386,703,365,246
WBGene00008952,65,28,93,69,46,29
WBGene00008953,283,205,359,191,228,122
WBGene00008954,129,73,100,73,92,47
WBGene00008955,75,40,64,64,59,46
WBGene00008956,384,261,340,364,343,154
WBGene00008957,139,86,160,112,119,67
WBGene00008958,61,39,48,160,60,27
WBGene00008959,536,290,282,810,327,258
WBGene00008960,2,3,3,0,1,1
WBGene00008961,2,1,0,0,1,2
WBGene00008963,400,302,409,332,374,169
WBGene00008964,1445,1182,1497,1031,1373,623
WBGene00008965,51,44,50,67,19,15
WBGene00008966,1,1,0,0,1,0
WBGene00008967,41,26,3,43,19,21
WBGene00008968,1293,937,848,1837,829,588
WBGene00008969,497,402,480,461,441,199
WBGene00008970,47,33,52,91,44,22
WBGene00008971,298,235,274,373,212,139
WBGene00008972,1,0,0,1,0,1
WBGene00008973,1817,1116,1262,1897,1232,699
WBGene00008974,1454,833,983,1803,943,544
WBGene00008975,7523,4453,4953,6732,5481,3046
WBGene00008976,34,15,27,20,30,17
WBGene00008977,44,32,28,50,41,27
WBGene00008978,97,52,91,64,58,33
WBGene00008979,1316,881,1228,1107,1065,505
WBGene00008980,585,406,512,367,567,259
WBGene00008981,0,0,0,0,0,0
WBGene00008982,0,0,0,0,0,0
WBGene00008983,0,0,0,0,2,0
WBGene00008984,0,0,0,0,0,0
WBGene00008985,97,79,84,72,67,38
WBGene00008986,1180,887,1139,763,1045,528
WBGene00008987,359,226,298,287,288,123
WBGene00008988,332,373,730,132,305,175
WBGene00008989,17,12,9,8,9,9
WBGene00008990,2722,1765,2419,3943,1902,1196
WBGene00008991,221,175,167,400,155,124
WBGene00008992,2,1,6,1,2,3
WBGene00008993,572,395,578,343,489,237
WBGene00008994,25,17,17,5,9,4
WBGene00008995,337,216,194,354,206,141
WBGene00008996,37,17,27,47,25,7
WBGene00008997,94,58,79,90,85,31
WBGene00008998,76,43,78,56,63,29
WBGene00008999,2896,1775,2459,3617,1864,1263
WBGene00009000,12,22,21,11,20,10
WBGene00009001,5,2,5,4,2,1
WBGene00009002,1261,894,915,1185,990,447
WBGene00009004,1220,923,829,1179,1015,587
WBGene00009005,12,6,8,2,5,3
WBGene00009006,3188,2245,2265,4854,2108,1253
WBGene00009007,1880,1443,1287,3123,1302,933
WBGene00009008,1439,1147,1646,1445,1321,602
WBGene00009009,168,109,123,179,133,78
WBGene00009010,810,667,732,1150,679,426
WBGene00009011,1041,776,691,1493,734,445
WBGene00009012,4817,3165,3674,6116,3603,1957
WBGene00009013,373,283,288,292,328,175
WBGene00009014,18,13,11,9,11,4
WBGene00009015,6,6,9,9,3,3
WBGene00009016,37,29,41,12,41,9
WBGene00009017,0,0,0,0,0,0
WBGene00009018,17,16,15,17,26,10
WBGene00009019,6,5,6,9,1,3
WBGene00009020,16,11,17,14,11,3
WBGene00009021,1,0,1,2,2,0
WBGene00009022,8,5,8,4,5,6
WBGene00009023,435,341,532,335,372,189
WBGene00009024,1,1,2,0,1,1
WBGene00009025,174,123,135,216,166,91
WBGene00009026,112,92,93,128,119,49
WBGene00009027,606,421,642,893,473,292
WBGene00009028,86,59,107,50,63,58
WBGene00009029,35,31,42,21,34,4
WBGene00009030,30,13,24,34,21,9
WBGene00009031,323,136,224,92,197,136
WBGene00009032,7,8,4,5,0,0
WBGene00009033,30,25,44,27,16,7
WBGene00009035,9422,5648,5202,12863,5240,3605
WBGene00009036,1,0,1,5,1,0
WBGene00009038,1,0,0,1,0,1
WBGene00009039,15,13,21,4,10,2
WBGene00009041,138,120,129,189,56,106
WBGene00009042,43,23,25,17,50,23
WBGene00009043,40,23,28,33,36,26
WBGene00009044,50,44,60,61,58,29
WBGene00009045,1651,1319,1333,1756,1322,810
WBGene00009046,0,0,0,1,0,0
WBGene00009047,119,79,150,50,93,109
WBGene00009048,5028,2756,5840,1940,2974,2470
WBGene00009049,2183,1376,2181,1144,1381,967
WBGene00009050,13642,7815,7715,15374,7829,4964
WBGene00009051,1591,1128,1254,1038,1329,731
WBGene00009052,1880,1291,1382,2530,1343,802
WBGene00009054,208,142,169,262,133,83
WBGene00009055,103,61,66,54,75,48
WBGene00009056,55,40,85,43,60,44
WBGene00009057,2510,1713,2111,2805,2125,969
WBGene00009058,2399,1536,2458,2578,1925,1248
WBGene00009059,168,120,150,104,131,57
WBGene00009060,18,15,21,14,13,11
WBGene00009061,78,113,65,84,71,35
WBGene00009063,11,5,6,12,4,2
WBGene00009064,2521,1359,1490,3286,1558,848
WBGene00009065,5066,2952,3200,6619,2882,2032
WBGene00009067,34,33,26,9,30,20
WBGene00009068,64,42,79,44,59,35
WBGene00009069,236,135,158,85,183,115
WBGene00009070,80,45,69,80,45,30
WBGene00009071,40,35,30,60,26,22
WBGene00009073,5,1,1,6,3,1
WBGene00009075,34,13,26,13,23,15
WBGene00009076,0,0,0,0,0,0
WBGene00009077,3,3,7,11,9,3
WBGene00009078,405,277,265,226,372,206
WBGene00009079,48,16,26,12,19,21
WBGene00009081,914,522,671,640,553,368
WBGene00009082,8716,5296,6406,7608,5460,3603
WBGene00009084,3005,2167,2189,3630,2058,1228
WBGene00009085,9,9,6,11,8,2
WBGene00009086,289,197,235,694,204,166
WBGene00009087,280,184,197,181,222,134
WBGene00009088,43,18,29,49,27,13
WBGene00009089,76,36,43,74,45,27
WBGene00009090,26,12,13,7,25,11
WBGene00009091,409,386,398,123,612,352
WBGene00009092,1616,1012,1047,1470,1120,651
WBGene00009093,438,349,372,367,339,216
WBGene00009094,114,74,61,173,32,19
WBGene00009095,7,5,7,4,4,8
WBGene00009096,222,243,213,161,306,165
WBGene00009097,371,299,318,253,378,215
WBGene00009098,3124,2306,2731,4263,2331,1426
WBGene00009099,14,4,6,10,5,4
WBGene00009100,111,77,92,162,79,45
WBGene00009101,99,57,95,119,72,36
WBGene00009102,231,132,149,306,116,84
WBGene00009103,3799,2652,2689,5824,2577,1809
WBGene00009104,30,26,45,30,40,21
WBGene00009106,963,741,948,944,889,411
WBGene00009107,7,3,7,11,2,1
WBGene00009108,1,3,2,3,2,1
WBGene00009109,39,41,32,48,32,22
WBGene00009110,275,202,275,282,343,95
WBGene00009112,3892,2644,2849,5168,2759,1834
WBGene00009113,3732,2140,1839,4978,1938,1365
WBGene00009114,9,5,4,8,3,1
WBGene00009115,64,38,54,52,60,32
WBGene00009116,1199,791,1015,1485,933,496
WBGene00009117,3,7,9,8,7,1
WBGene00009118,1335,931,902,1446,895,577
WBGene00009119,25542,13680,14807,18139,15914,10191
WBGene00009120,2790,2001,2341,3719,2151,1309
WBGene00009121,383,314,346,525,317,138
WBGene00009122,14970,9133,9599,9523,10498,5667
WBGene00009123,291,240,204,474,237,134
WBGene00009124,1124,905,776,1975,750,557
WBGene00009125,32,23,52,28,38,20
WBGene00009126,14332,9058,11566,13248,10154,5685
WBGene00009127,1529,1069,1047,2609,1083,794
WBGene00009128,271,190,181,205,212,116
WBGene00009129,53,27,41,35,36,22
WBGene00009130,807,655,647,337,835,460
WBGene00009131,602,486,421,866,429,281
WBGene00009132,953,756,629,1539,685,437
WBGene00009133,122,101,62,264,53,58
WBGene00009134,4,2,1,3,2,4
WBGene00009135,141,84,98,177,111,56
WBGene00009136,5,5,4,12,3,1
WBGene00009137,124,96,99,212,101,57
WBGene00009138,351,269,191,384,269,175
WBGene00009139,224,192,178,158,203,107
WBGene00009140,920,595,630,836,582,325
WBGene00009141,1270,950,901,1615,910,576
WBGene00009142,3938,1947,2341,3328,2313,1100
WBGene00009143,87,28,58,23,38,37
WBGene00009144,28,22,12,30,5,8
WBGene00009145,600,421,399,760,420,288
WBGene00009146,228,163,177,263,173,79
WBGene00009147,1,1,0,2,0,0
WBGene00009148,10,6,11,13,15,9
WBGene00009149,29,23,60,15,28,16
WBGene00009150,1,0,0,0,1,0
WBGene00009151,0,0,0,0,0,0
WBGene00009152,1,1,1,0,1,0
WBGene00009153,9,5,5,11,4,0
WBGene00009154,2,2,2,2,0,0
